అంతర్దశ,ప్రారమ్భం,ముగింపు
Mercury,11-12-2107,08-05-2110
Ketu,08-05-2110,06-05-2111
Venus,06-05-2111,05-03-2114
Sun,05-03-2114,10-01-2115
Moon,10-01-2115,10-06-2116
Mars,10-06-2116,08-06-2117
Rahu,08-06-2117,26-12-2119
Jupiter,26-12-2119,02-04-2122
Saturn,02-04-2122,10-12-2124
