అంతర్దశ,ప్రారమ్భం,ముగింపు
Saturn,09-12-2088,13-12-2091
Mercury,13-12-2091,22-08-2094
Ketu,22-08-2094,01-10-2095
Venus,01-10-2095,30-11-2098
Sun,30-11-2098,12-11-2099
Moon,12-11-2099,14-06-2101
Mars,14-06-2101,23-07-2102
Rahu,23-07-2102,29-05-2105
Jupiter,29-05-2105,11-12-2107
