అంతర్దశ,ప్రారమ్భం,ముగింపు
Moon,09-12-2037,10-10-2038
Mars,10-10-2038,11-05-2039
Rahu,11-05-2039,09-11-2040
Jupiter,09-11-2040,11-03-2042
Saturn,11-03-2042,10-10-2043
Mercury,10-10-2043,10-03-2045
Ketu,10-03-2045,09-10-2045
Venus,09-10-2045,10-06-2047
Sun,10-06-2047,10-12-2047
