అంతర్దశ,ప్రారమ్భం,ముగింపు
Venus,10-12-2011,10-04-2015
Sun,10-04-2015,09-04-2016
Moon,09-04-2016,09-12-2017
Mars,09-12-2017,08-02-2019
Rahu,08-02-2019,08-02-2022
Jupiter,08-02-2022,09-10-2024
Saturn,09-10-2024,10-12-2027
Mercury,10-12-2027,10-10-2030
Ketu,10-10-2030,10-12-2031
