అంతర్దశ,ప్రారమ్భం,ముగింపు
Rahu,15-02-2003,28-10-2005
Jupiter,28-10-2005,23-03-2008
Saturn,23-03-2008,28-01-2011
Mercury,28-01-2011,16-08-2013
Ketu,16-08-2013,04-09-2014
Venus,04-09-2014,03-09-2017
Sun,03-09-2017,29-07-2018
Moon,29-07-2018,28-01-2020
Mars,28-01-2020,14-02-2021
