అంతర్దశ,ప్రారమ్భం,ముగింపు
Ketu,14-02-2073,14-07-2073
Venus,14-07-2073,13-09-2074
Sun,13-09-2074,19-01-2075
Moon,19-01-2075,20-08-2075
Mars,20-08-2075,16-01-2076
Rahu,16-01-2076,02-02-2077
Jupiter,02-02-2077,09-01-2078
Saturn,09-01-2078,18-02-2079
Mercury,18-02-2079,15-02-2080
