అంతర్దశ,ప్రారమ్భం,ముగింపు
Jupiter,14-02-2021,05-04-2023
Saturn,05-04-2023,16-10-2025
Mercury,16-10-2025,22-01-2028
Ketu,22-01-2028,28-12-2028
Venus,28-12-2028,29-08-2031
Sun,29-08-2031,16-06-2032
Moon,16-06-2032,16-10-2033
Mars,16-10-2033,22-09-2034
Rahu,22-09-2034,14-02-2037
